ticker,entry_date,exit_date,entry_price,exit_price,entry_score,final_pct,days_held,exit_reason,won
AAON,2024-04-30,2024-05-31,93.30072784423828,74.42044067382812,81.12,-20.24,31,stop,False
VRT,2024-04-30,2024-07-17,92.76575469970703,81.59630584716797,91.91,-12.04,78,stop,False
VST,2024-04-30,2024-07-17,74.82920837402344,75.37995147705078,81.98,0.74,78,trail,True
NXPI,2024-04-30,2024-07-24,247.050537109375,246.2065887451172,79.44,-0.34,85,trail,False
TER,2024-04-30,2024-07-25,115.42998504638672,123.49484252929688,80.03,6.99,86,trail,True
ETN,2024-04-30,2024-07-30,309.5262145996094,280.1929016113281,79.2,-9.48,91,stop,False
CRDO,2024-06-28,2024-07-31,31.940000534057617,27.75,91.07,-13.12,33,stop,False
CAMT,2024-06-28,2024-07-31,125.23999786376953,105.0,86.22,-16.16,33,stop,False
MTSI,2024-06-28,2024-07-31,111.47000122070312,100.91999816894531,81.02,-9.46,33,stop,False
NU,2024-06-28,2024-08-01,12.890000343322754,11.520000457763672,84.01,-10.63,34,stop,False
VRNS,2024-07-31,2024-10-31,55.130001068115234,50.369998931884766,85.89,-8.63,92,stop,False
APLD,2024-09-30,2024-10-31,8.25,6.760000228881836,100.22,-18.06,31,stop,False
CACI,2024-04-30,2024-12-09,402.2300109863281,437.19000244140625,82.15,8.69,223,trail,True
IRM,2024-07-31,2024-12-10,96.96580505371094,106.56067657470703,80.98,9.9,132,trail,True
LDOS,2024-04-30,2024-12-12,137.39569091796875,150.66644287109375,80.79,9.66,226,trail,True
GE,2024-04-30,2024-12-18,159.89984130859375,158.55404663085938,82.23,-0.84,232,trail,False
RKLB,2024-11-29,2025-01-02,27.280000686645508,24.959999084472656,101.08,-8.5,34,stop,False
QUBT,2024-11-29,2025-01-08,7.059999942779541,9.90999984741211,103.98,40.37,40,trail,True
IONQ,2024-11-29,2025-01-08,36.5,30.25,102.55,-17.12,40,stop,False
SOUN,2024-11-29,2025-01-13,9.3100004196167,12.819999694824219,101.93,37.7,45,trail,True
SOUN,2024-12-31,2025-01-31,19.84000015258789,14.149999618530273,98.75,-28.68,31,stop,False
QMCO,2024-12-31,2025-01-31,53.91999816894531,22.399999618530273,92.9,-58.46,31,stop,False
QUBT,2024-12-31,2025-01-31,16.549999237060547,10.380000114440918,89.58,-37.28,31,stop,False
LUMN,2024-07-31,2025-02-12,3.1500000953674316,4.659999847412109,102.5,47.94,196,trail,True
BBAI,2024-12-31,2025-02-24,4.449999809265137,5.940000057220459,105.53,33.48,55,trail,True
GTLB,2025-01-31,2025-02-28,72.76000213623047,60.209999084472656,85.51,-17.25,28,stop,False
TEAM,2025-01-31,2025-03-03,306.7799987792969,274.2200012207031,87.54,-10.61,31,stop,False
VIAV,2025-01-31,2025-03-03,12.039999961853027,10.9399995803833,87.1,-9.14,31,stop,False
BX,2024-07-31,2025-03-04,134.3623046875,144.4290008544922,78.29,7.49,216,trail,True
ADTN,2025-01-31,2025-03-06,10.369999885559082,9.510000228881836,86.89,-8.29,34,stop,False
NET,2025-01-31,2025-03-07,138.39999389648438,126.75,85.06,-8.42,35,stop,False
ACMR,2025-02-28,2025-03-31,25.940000534057617,23.34000015258789,87.48,-10.02,31,stop,False
SATS,2025-02-28,2025-03-31,31.229999542236328,25.579999923706055,85.92,-18.09,31,stop,False
SPOT,2025-02-28,2025-03-31,608.010009765625,550.030029296875,79.73,-9.54,31,stop,False
WBD,2025-02-28,2025-04-01,11.460000038146973,10.210000038146973,83.39,-10.91,32,stop,False
ABBNY,2024-04-30,2025-04-04,47.0805778503418,46.22693634033203,80.77,-1.81,339,trail,False
TMUS,2025-02-28,2025-04-04,265.1595153808594,243.9420623779297,80.41,-8.0,35,stop,False
TMUS,2025-03-31,2025-05-09,262.2295837402344,239.7143096923828,74.26,-8.59,39,stop,False
CHKP,2025-03-31,2025-07-30,227.9199981689453,186.6699981689453,76.11,-18.1,121,stop,False
VZ,2025-03-31,2025-10-23,41.824546813964844,37.185829162597656,76.29,-11.09,206,stop,False
